symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
DYMUSDT,2025-01-04 17:30:00+09:00,1.501,1.508,1.497,1.497,45700.6,3890084.2,0.0001,-1.772,1.941,-0.438
EDUUSDT,2025-01-04 17:30:00+09:00,0.5729,0.5735,0.5704,0.5704,7851.5,5377788.8,0.0001,-1.075,-44.361,-0.353
EGLDUSDT,2025-01-04 17:30:00+09:00,37.98,38.08,37.94,37.95,1113.52,271925.76,0.0001,-0.602,256.735,-4.145
EIGENUSDT,2025-01-04 17:30:00+09:00,3.9864,4.0102,3.9737,3.9774,55816.0,4508617.0,0.0001,-0.403,1.9,-0.578
ENAUSDT,2025-01-04 17:30:00+09:00,1.1855,1.1894,1.1804,1.181,944380.0,212480300.0,-0.000278,-0.547,118.295,-0.177
ENJUSDT,2025-01-04 17:30:00+09:00,0.2443,0.2446,0.2432,0.2432,60215.7,22109523.39999999,0.0001,-1.578,17.665,0.023
ENSUSDT,2025-01-04 17:30:00+09:00,37.225,37.33,37.111,37.111,5604.5,697420.69999999,0.0001,-0.905,12.499,0.37
EOSUSDT,2025-01-04 17:30:00+09:00,0.9188,0.922,0.9178,0.9178,138363.0,29521836.9,0.0001,-0.563,129.683,-1.148
ETCUSDT,2025-01-04 17:30:00+09:00,28.227,28.291,28.177,28.181,7057.1,1717152.8,0.0001,-0.757,87.533,0.24
ETHBTCUSDT,2025-01-04 17:30:00+09:00,0.036636,0.036707,0.036636,0.036684,1504940.0,467074770.0,0.000625,0.158,673.7,0.123
ETHFIUSDT,2025-01-04 17:30:00+09:00,2.3699,2.3799,2.366,2.366,16026.8,4520942.8,0.0001,-1.075,-23.885,-0.935
ETHUSDT,2025-01-04 17:30:00+09:00,3594.72,3600.91,3590.41,3590.74,4695.81,1191735.18,0.0001,-0.066,28.303,-0.119
ETHWUSDT,2025-01-04 17:30:00+09:00,3.598,3.607,3.588,3.588,605.56,1079059.87999999,0.0001,-1.374,-24.845,0.034
FARTCOINUSDT,2025-01-04 17:30:00+09:00,1.4397,1.4469,1.4334,1.442,457634.0,30994962.0,0.0001,-0.373,36.799,-0.743
FBUSDT,2025-01-04 17:30:00+09:00,3.154,3.177,3.113,3.121,7316.8,408424.3,0.0001,-0.415,74.481,-0.479
FDUSDUSDT,2025-01-04 17:30:00+09:00,0.9983,0.9983,0.9983,0.9983,0.0,275288.0,0.0001,-0.02,-85.467,-0.025
FIDAUSDT,2025-01-04 17:30:00+09:00,0.2712,0.2721,0.2705,0.2707,21301.0,5884923.0,0.0001,-1.456,76.315,-0.449
FILUSDT,2025-01-04 17:30:00+09:00,5.605,5.62,5.6,5.602,22925.8,7466119.5,0.0001,-0.92,0.149,0.272
FIOUSDT,2025-01-04 17:30:00+09:00,0.04447,0.04463,0.04447,0.0445,32200.0,16197680.0,0.0001,-1.067,92.037,0.611
